"cidade","ano","mes","quantidade.auxiliar","quantidade.assessor","quantidade.assistente","quantidade.secretario"
"Sapé","2010","09",3,14,3,1
"Sapé","2010","10",3,14,3,1
"Sapé","2010","11",3,14,4,1
"Sapé","2010","12",3,14,3,1
"Sapé","2011","01",3,17,3,1
"Sapé","2011","02",3,17,3,1
"Sapé","2011","03",3,17,3,1
"Sapé","2011","04",3,17,3,1
"Sapé","2011","05",3,17,3,1
"Sapé","2011","06",3,17,3,1
"Sapé","2011","07",3,17,2,1
"Sapé","2011","08",3,17,2,1
"Sapé","2011","09",3,17,2,1
"Sapé","2011","10",3,17,2,1
"Sapé","2011","11",3,17,2,1
"Sapé","2011","12",3,17,2,1
"Sapé","2012","01",3,17,2,1
"Sapé","2012","02",3,17,2,1
"Sapé","2012","03",3,17,2,1
"Sapé","2012","04",6,17,3,1
"Sapé","2012","05",6,17,3,1
"Sapé","2012","06",6,17,3,1
"Sapé","2012","07",6,17,4,1
"Sapé","2012","08",6,17,4,1
"Sapé","2012","09",6,17,4,1
"Sapé","2012","10",6,17,4,1
"Sapé","2012","11",6,17,4,1
"Sapé","2012","12",6,17,4,1
"Sapé","2013","01",6,20,4,1
"Sapé","2013","02",6,20,4,1
"Sapé","2013","03",6,20,4,1
"Sapé","2013","04",6,20,4,1
"Sapé","2013","05",6,20,4,1
"Sapé","2013","06",6,20,4,1
"Sapé","2013","07",6,20,4,1
"Sapé","2013","08",6,20,4,1
"Sapé","2013","09",6,28,4,1
"Sapé","2013","10",6,28,4,1
"Sapé","2013","11",6,28,4,1
"Sapé","2013","12",6,28,4,1
"Sapé","2014","01",6,28,4,1
"Sapé","2014","02",6,28,4,1
"Sapé","2014","03",6,28,4,1
"Sapé","2014","04",6,28,4,1
"Sapé","2014","05",6,39,4,3
"Sapé","2014","06",6,40,4,3
"Sapé","2014","07",6,43,4,3
"Sapé","2014","08",6,40,4,3
"Sapé","2014","09",6,41,4,3
"Sapé","2014","10",6,41,4,3
"Sapé","2014","11",6,41,4,3
"Sapé","2014","12",6,41,4,3
"Sapé","2015","01",6,31,4,1
"Sapé","2015","02",5,31,4,1
"Sapé","2015","03",6,32,4,1
"Sapé","2015","04",6,32,4,1
"Sapé","2015","05",6,32,3,1
"Sapé","2015","06",7,34,4,1
"Sapé","2015","07",6,33,3,1
"Sapé","2015","08",6,32,3,1
"Sapé","2015","09",6,32,3,1
"Sapé","2015","10",6,32,3,1
"Sapé","2015","11",6,32,3,1
"Sapé","2015","12",7,33,4,1
"Sapé","2016","01",7,32,4,1
"Sapé","2016","02",7,32,4,1
"Sapé","2016","03",7,32,4,1
"Sapé","2016","04",6,32,4,1
"Sapé","2016","05",6,31,4,1
"Solânea","2009","01",2,13,2,1
"Solânea","2009","02",3,13,2,1
"Solânea","2009","03",4,13,2,1
"Solânea","2009","04",4,13,2,1
"Solânea","2009","05",4,13,2,1
"Solânea","2009","06",4,13,2,1
"Solânea","2009","07",4,13,2,1
"Solânea","2009","08",4,13,2,1
"Solânea","2009","09",4,13,2,1
"Solânea","2009","10",4,13,2,1
"Solânea","2009","11",4,13,2,1
"Solânea","2009","12",4,13,2,1
"Solânea","2010","01",4,13,2,1
"Solânea","2010","02",4,13,2,1
"Solânea","2010","03",4,13,2,1
"Solânea","2010","04",2,13,2,1
"Solânea","2010","05",2,13,2,1
"Solânea","2010","06",2,13,2,1
"Solânea","2010","07",2,13,2,1
"Solânea","2010","08",2,12,2,1
"Solânea","2010","09",2,13,2,1
"Solânea","2010","10",2,13,2,1
"Solânea","2010","11",2,13,2,1
"Solânea","2010","12",2,13,2,1
"Solânea","2011","01",3,4,2,1
"Solânea","2011","02",3,4,2,1
"Solânea","2011","03",3,4,2,1
"Solânea","2011","04",3,4,2,1
"Solânea","2011","05",3,5,2,1
"Solânea","2011","06",3,5,2,1
"Solânea","2011","07",3,5,2,1
"Solânea","2011","08",3,5,2,1
"Solânea","2011","09",3,5,2,1
"Solânea","2011","10",3,7,2,2
"Solânea","2012","01",3,6,2,1
"Solânea","2012","02",3,5,2,1
"Solânea","2012","03",3,6,2,1
"Solânea","2012","04",3,6,2,1
"Solânea","2012","05",3,6,2,1
"Solânea","2012","06",3,6,2,1
"Solânea","2012","07",3,6,2,1
"Solânea","2012","08",2,6,2,1
"Solânea","2012","09",1,1,2,1
"Solânea","2012","10",2,7,2,1
"Solânea","2012","11",2,4,2,1
"Solânea","2012","12",3,8,2,1
"Solânea","2014","02",3,4,2,1
"Solânea","2014","03",3,4,2,1
"Solânea","2014","04",3,4,2,1
"Solânea","2014","05",3,4,2,1
"Solânea","2014","06",4,4,2,1
"Solânea","2014","07",4,4,2,1
"Solânea","2014","08",4,4,2,1
"Solânea","2014","09",4,4,2,1
"Solânea","2014","10",4,4,2,1
"Solânea","2014","11",4,4,2,1
"Solânea","2014","12",4,5,2,1
"Solânea","2015","01",4,3,2,1
"Solânea","2015","02",4,12,2,1
"Solânea","2015","03",4,12,2,1
"Solânea","2015","04",4,12,2,1
"Solânea","2015","08",4,1,2,1
"Solânea","2015","09",4,1,2,1
"Solânea","2015","10",4,1,2,1
"Solânea","2015","11",4,1,2,1
"Sousa","2009","01",9,3,41,2
"Sousa","2009","02",9,3,51,2
"Sousa","2009","03",9,3,51,2
"Sousa","2009","04",9,3,51,2
"Sousa","2009","05",9,3,51,2
"Sousa","2009","06",9,3,51,2
"Sousa","2009","07",9,3,51,2
"Sousa","2009","08",9,3,51,2
"Sousa","2009","09",9,3,52,2
"Sousa","2009","10",9,3,52,2
"Sousa","2009","11",9,3,52,2
"Sousa","2009","12",9,3,2,2
"Sousa","2010","01",9,3,41,2
"Sousa","2010","02",9,3,41,2
"Sousa","2010","03",9,3,41,2
"Sousa","2010","04",9,3,41,2
"Sousa","2010","05",8,3,41,2
"Sousa","2010","06",8,3,41,2
"Sousa","2010","07",8,3,41,2
"Sousa","2010","08",8,3,41,2
"Sousa","2010","09",8,3,41,2
"Sousa","2010","10",8,3,41,2
"Sousa","2010","11",8,3,41,2
"Sousa","2010","12",8,3,1,2
"Sousa","2011","01",8,3,51,2
"Sousa","2011","02",8,3,51,2
"Sousa","2011","03",8,3,51,2
"Sousa","2011","04",8,3,51,2
"Sousa","2011","05",8,3,51,2
"Sousa","2011","06",8,3,51,2
"Sousa","2011","07",8,3,51,2
"Sousa","2011","08",8,3,51,2
"Sousa","2011","09",8,3,51,2
